sample,steer,drive
1157,149,148
1158,148,148
1159,148,148
1160,148,148
1161,148,148
1162,148,148
1163,148,148
1164,148,148
1165,148,148
1166,148,148
1167,148,148
1168,148,148
1169,148,148
1170,148,148
1171,148,148
1172,148,148
1173,148,148
1174,148,148
1175,148,148
1176,148,148
1177,148,148
1178,148,148
1179,148,148
1180,148,148
1181,148,148
1182,148,148
1183,148,148
1184,148,148
1185,139,154
1186,132,158
1187,127,161
1188,124,163
1189,122,164
1190,120,165
1191,119,165
1192,118,165
1193,127,165
1194,133,165
1195,137,165
1196,140,165
1197,160,165
1198,174,165
1199,166,165
1200,160,165
1201,174,165
1202,184,165
1203,173,165
1204,156,165
1205,144,165
1206,145,165
1207,145,165
1208,136,165
1209,130,165
1210,135,165
1211,138,165
1212,141,165
1213,134,159
1214,129,155
1215,125,152
1216,122,150
1217,120,155
1218,119,158
1219,118,161
1220,118,163
1221,118,164
1222,118,165
1223,118,165
1224,118,165
1225,118,165
1226,118,159
1227,127,155
1228,133,152
1229,155,147
1230,170,144
1231,181,142
1232,189,140
1233,194,139
1234,198,138
1235,201,138
1236,185,141
1237,173,143
1238,156,150
1239,144,155
1240,136,158
1241,130,161
1242,126,157
1243,132,154
1244,136,152
1245,139,150
1246,141,149
1247,143,148
1248,144,148
1249,145,148
1250,145,148
1251,145,148
1252,145,148
1253,145,148
1254,145,148
1255,145,148
1256,145,148
1257,145,148
1258,145,148
1259,145,148
1260,145,148
1261,145,148
1262,145,148
1263,145,148
1264,145,148
1265,145,148
1266,145,148
1267,145,148
1268,145,148
1269,145,148
1270,145,148
1271,145,148
1272,145,148
1273,145,148
1274,163,145
1275,176,142
1276,185,140
1277,191,139
1278,196,138
1279,199,138
1280,201,138
1281,203,138
1282,204,138
1283,205,138
1284,205,138
1285,205,138
1286,205,138
1287,205,138
1288,187,141
1289,175,143
1290,166,144
1291,160,145
1292,156,145
1293,171,142
1294,182,140
1295,189,139
1296,194,138
1297,198,138
1298,201,138
1299,203,138
1300,204,138
1301,205,138
1302,205,138
1303,205,138
1304,205,138
1305,187,141
1306,175,143
1307,166,144
1308,160,145
1309,156,145
1310,153,145
1311,151,151
1312,141,156
1313,134,159
1314,129,161
1315,125,163
1316,122,158
1317,129,155
1318,134,152
1319,156,147
1320,171,144
1321,182,142
1322,189,140
1323,194,139
1324,198,138
1325,201,138
1326,203,138
1327,186,141
1328,174,143
1329,166,144
1330,160,145
1331,156,145
1332,144,151
1333,136,156
1334,130,159
1335,135,155
1336,138,152
1337,159,147
1338,173,144
1339,183,142
1340,190,140
1341,177,142
1342,168,143
1343,162,144
1344,157,145
1345,154,145
1346,152,145
1347,168,142
1348,180,140
1349,188,139
1350,194,138
1351,180,141
1352,170,143
1353,163,144
1354,158,145
1355,146,145
1356,137,145
1357,131,145
1358,127,145
1359,124,151
1360,122,156
1361,120,159
1362,119,161
1363,127,163
1364,133,158
1365,137,155
1366,140,152
1367,142,150
1368,143,149
1369,144,148
1370,145,148
1371,163,148
1372,176,148
1373,185,148
1374,191,148
1375,196,145
1376,199,142
1377,201,140
1378,203,139
1379,204,138
1380,205,138
1381,205,138
1382,187,141
1383,175,143
1384,166,144
1385,160,145
1386,156,145
1387,144,145
1388,136,145
1389,130,151
1390,126,156
1391,123,159
1392,121,161
1393,120,163
1394,128,158
1395,152,155
1396,168,152
1397,180,150
1398,188,149
1399,194,148
1400,198,145
1401,201,142
1402,203,140
1403,204,139
1404,205,138
1405,205,138
1406,187,141
1407,175,143
1408,166,144
1409,160,151
1410,156,156
1411,153,159
1412,151,161
1413,150,163
1414,149,164
1415,148,165
1416,148,165
1417,148,165
1418,148,165
1419,148,165
1420,148,165
1421,148,165
1422,148,165
1423,148,165
1424,148,165
1425,148,165
1426,139,165
1427,132,165
1428,127,165
1429,124,165
1430,122,165
1431,120,165
1432,119,165
1433,118,165
1434,118,165
1435,118,165
1436,118,165
1437,118,165
1438,118,165
1439,118,165
1440,118,165
1441,118,165
1442,118,165
1443,118,165
1444,118,165
1445,118,165
1446,118,165
1447,118,165
1448,118,165
1449,118,165
1450,118,165
1451,145,159
1452,163,155
1453,176,152
1454,185,156
1455,191,159
1456,196,161
1457,199,163
1458,183,164
1459,172,165
1460,164,165
1461,159,165
1462,155,165
1463,152,159
1464,141,154
1465,134,148
1466,129,145
1467,125,142
1468,122,140
1469,120,139
1470,119,138
1471,118,138
1472,118,138
1473,118,138
1474,118,138
1475,118,138
1476,118,138
1477,118,138
1478,118,138
1479,118,138
1480,118,138
1481,118,138
1482,118,138
1483,118,138
1484,118,138
1485,118,138
1486,118,138
1487,118,138
1488,118,138
1489,118,138
1490,118,138
1491,118,138
1492,118,138
1493,118,138
1494,118,138
1495,118,138
1496,118,138
1497,118,138
1498,118,138
1499,118,138
1500,118,138
1501,127,141
1502,133,143
1503,155,150
1504,170,155
1505,181,158
1506,189,161
1507,194,163
1508,198,164
1509,183,159
1510,172,155
1511,164,152
1512,159,147
1513,146,144
1514,137,142
1515,131,140
1516,127,139
1517,124,138
1518,122,138
1519,120,138
1520,119,138
1521,118,138
1522,118,138
1523,118,141
1524,127,143
1525,133,144
1526,155,151
1527,170,156
1528,181,159
1529,189,161
1530,194,163
1531,198,164
1532,201,165
1533,203,165
1534,204,165
1535,205,165
1536,205,165
1537,205,165
1538,205,165
1539,205,165
1540,205,165
1541,205,165
1542,205,165
1543,205,165
1544,205,165
1545,187,165
1546,175,165
1547,166,159
1548,160,155
1549,156,152
1550,153,150
1551,151,149
1552,150,148
1553,149,148
1554,148,148
1555,148,148
1556,148,148
1557,148,148
1558,148,148
1559,148,148
1560,148,148
1561,148,148
1562,148,148
1563,148,148
1564,148,148
1565,148,148
1566,148,148
1567,148,148
1568,148,148
1569,148,148
1570,148,148
1571,148,148
1572,148,148
1573,148,148
1574,148,148
1575,148,148
1576,148,148
1577,148,148
1578,148,148
1579,148,148
1580,148,148
1581,148,148
1582,148,148
1583,148,148
1584,148,148
1585,148,148
1586,148,148
1587,148,148
1588,148,148
1589,148,148
1590,148,148
1591,148,148
1592,148,148
1593,148,148
1594,148,148
1595,148,148
1596,148,148
1597,148,148
1598,148,148
1599,148,148
1600,148,148
1601,148,148
